Q12913 P46087
P15880 O43422
P62906 P46781
Q9H9S0 Q9Y3I0
Q9Y240 Q9NRR4
Q9NRS4 Q9NZT1
Q5T160 P21964
Q9NR45 Q12931
Q12931 Q5T160
Q12824 O15027
Q8IYR6 Q12913
A6NJ78 Q9NYK5
A6NJ78 P24752
Q9P0K1 O95970
P05067 Q6NUK1
Q96MF6 P12694
P78310 Q8IUW5
O00764 P47224
P30990 Q16819
Q99442 P14625
Q99848 Q07020
Q7L8L6 Q9NVS2
P40259 Q9Y3P9
Q5J8M3 P27797
Q96II8 Q5VUJ6
P19320 P62906
Q9NYK1 O15389
P02751 O14737
Q8TB96 Q9Y3I0
Q9UBX2 P46781
Q96HE8 Q5BJH2
Q9NRS4 O43405
Q6VY07 Q92673
P62487 Q13503
Q96GX1 Q53H12
P10275 Q15046
Q6IN84 P38646
O60356 Q9NYH9
Q9NYB0 Q13426
Q9UBP6 O15144
Q9ULY5 O76024
P26367 Q96JC9
O00625 Q9NR45
Q9Y2G2 P51878
Q7Z4N8 Q13111
P62277 Q9BRU9
Q92844 Q92985
Q9NWT6 Q96EK7
Q14118 P04040
Q07021 P82933
O43169 Q9UNS1
Q6P161 Q9Y3B7
Q96AG3 P31323
O75147 Q9Y4W2
Q76LX8 Q5SZK8
Q5JVS0 Q96EY4
Q9BSQ5 O14829
P35442 P14780
Q16822 Q96CM8
Q01860 P50454
Q96KN3 P49419
Q53EV4 Q9H9V9
Q8IX12 Q92609
Q02543 P62829
Q9P032 Q53H12
Q9GZS9 O75973
Q5T2D2 Q16850
P11279 P50443
P13473 Q5JTV8
Q6ZMH5 Q13332
Q9UNU6 P09758
P03372 Q9Y2I9
P53007 P56134
P52907 Q9UFF9
Q07021 Q9NVS2
Q86T26 P49458
Q9H0D6 Q8N5N7
Q96HR8 Q9H5J8
O15393 P27797
Q15506 P14649
Q96QE5 P82664
P35680 P20823
Q9NYX4 Q02297
Q9UJ55 Q9UMX1
Q8N766 P00966
Q70EL2 P49750
Q15256 P56134
Q6NVV3 Q9ULQ1
Q06141 Q96PZ0
P82970 Q9Y2H0
P50914 Q9H329
Q99650 P38646
Q9Y2P8 P08865
P27918 Q99932
Q9UHI8 O75096
Q14108 Q8N3V7
P13473 Q9BRK5
O75147 Q15024
P30050 P32969
Q9Y639 O14980
Q9P032 P33121
P03372 Q9NV88
P32780 P30533
Q969E3 P34998
P14735 P49589
Q15293 Q9BQ89
P06748 Q8IV08
P25942 Q9UNN5
P19388 P52655
P82663 Q9BYD2
Q96PE5 Q6PJF5
Q02878 P62241
P60484 P46779
Q96LD1 Q9UJJ9
P06127 P21854
Q96JM4 O14763
Q8IUX8 Q9NP73
P08247 Q5T160
P18077 Q9H9A6
P15927 Q9H0D6
O75390 P22695
P04183 P02675
Q9UKF2 P16144
P20823 Q8NHM5
Q96GC9 P80723
Q08AM6 Q8N9R6
Q96FJ2 Q12888
P12830 Q9UQN3
P29692 Q9NQC3
P28068 Q16850
Q8N201 Q9NV88
Q86T26 Q96DZ1
P13473 Q6GYQ0
Q8N878 P01876
Q6UY14 Q9H3K6
Q7L2J0 Q9UNN5
O15173 P55084
P49765 P15692
Q8TD30 P23786
Q14242 P16109
Q9HAV4 O43847
P12273 Q9UBU6
Q9BYD1 P82933
Q9H6X2 P60903
Q14108 O15160
Q15468 Q96F86
Q9UBZ9 Q9UBT6
P08138 Q13797
P27487 Q96HN2
Q5DID0 O14523
Q15468 Q8TCU4
Q9BY84 Q96ME1
O14732 Q15011
Q6UXG8 Q70CQ2
P43308 P51571
P48357 Q9HBK9
P46087 P62241
Q6IN84 Q15031
P10644 Q9Y5Q8
Q6UY01 P06748
Q9Y3U8 Q8TDN6
Q6ZMP0 A5PL33
Q9ULY5 Q9NQX7
O00220 Q96HY6
P30305 Q3MII6
Q9BYD1 Q9NVS2
Q14738 P15927
Q8TB96 P62906
P18827 Q7L9B9
P55899 Q04756
Q86UE4 Q92896
P27695 P18440
Q8NBZ0 Q96B23
Q9NPD3 P51884
Q86UE4 Q5SZI1
Q9BSH4 Q15031
Q9UHP7 Q68DH5
Q9NZR4 P46379
P55211 Q02952
Q9NRX6 Q9Y342
P18077 Q9NQW7
Q9HCN8 Q5HYA8
Q96AG4 Q02487
Q96A22 P43121
Q9NYB0 Q86X53
P55211 Q92851
P12645 Q96LA8
P03973 Q96HA8
Q96PE5 Q9UM00
Q8N7C0 Q9ULQ1
P15880 Q03701
Q9BT49 Q96LR2
Q96HY6 Q9UBM7
P12830 Q9NRY6
Q9NS68 Q9UBG3
Q9UHD9 O95476
P19388 O14802
Q9NY61 Q9H7B2
Q9Y2I6 P03973
Q9NQC7 A8TX70
Q8N3G9 Q8WVQ1
O14798 Q8WVQ1
O76024 P60891
Q9NYB0 P28340
P14316 P05067
P02675 Q9Y376
Q9Y5W5 Q15459
Q92752 Q96HA8
P02751 P05067
P13611 P16112
Q96DN0 P49589
Q86X19 Q9ULE6
O75439 O75380
O43159 Q8TDN6
Q16790 Q6NUM9
Q16658 Q96CS3
Q9UFN0 Q6PI48
P98095 P02751
Q6NUS6 Q9UM00
O60346 O94782
Q99689 Q9BZI7
P29692 P40337
Q7Z417 P98095
P12955 Q9Y248
O95476 O00165
P12694 Q8TEA1
Q86Y30 Q14393
Q8IZH2 O95985
Q9BZQ4 Q15526
P04150 P82663
P23352 Q9P275
Q9UQV4 Q68CR1
Q12888 Q9Y6I4
Q9UK80 Q9Y4E8
Q14653 Q9UJ68
Q9UNN5 O15355
P60891 A1L190
Q9P127 Q96FV9
Q15527 P05067
P62910 Q07021
Q5TGI0 O95602
Q13868 Q01780
Q86WS5 O15118
Q9Y4E8 P40818
Q9Y4C4 Q9UNA4
Q9HBL8 P62241
P54136 Q7L3T8
P40200 Q14517
P50616 Q13111
Q9H7E2 O15234
Q9HCL2 P53701
Q7Z417 Q96HD1
P19320 P62081
Q93009 Q12931
Q99836 Q92985
Q6ZNK6 O75976
O00206 O00602
Q96HY6 Q9BRT6
O43169 Q8NBX0
Q99988 Q92673
O14980 Q9UKA2
P55081 Q96FV9
P17813 Q9UHF1
Q99848 P62917
Q9NRX1 O43147
Q9Y3B7 P82675
P02751 P27694
P13051 P05067
Q8WWY8 Q9UHF1
Q12888 P04275
P05067 P17677
O95999 Q9BXL5
P46531 Q96A73
Q9H6X2 O75493
Q9NRS4 Q13444
P03952 Q9NZN8
P60484 Q96S66
Q9NWW5 Q9Y6I9
Q9H3D4 Q7Z392
Q96HD1 Q9H490
Q96CM3 Q96A35
P03372 O43920
Q03393 Q9P2Z0
A2RRL7 Q92990
O15393 Q9UHI8
Q6ZMH5 Q9H1U9
P29966 Q9Y679
Q9UNA3 Q9UK28
O15027 O15460
P05423 O15160
Q9UBT6 P27694
P11912 Q14802
Q99689 P24588
Q9NUM4 Q5JTV8
Q5H8A3 Q9NY47
P46777 Q8IZH2
P0CG37 P12109
Q96HY6 Q08J23
O14967 Q68CR1
Q9Y3U8 P62241
P36941 Q5JTW2
O00206 O95999
P05067 Q92562
O60356 P16278
Q9NYK1 Q9BYJ1
P12830 P26010
Q5T700 Q9H668
Q8N3V7 Q9Y2D5
O75390 Q5JPH6
P05423 Q9BQY4
Q8IW19 P49917
Q93009 P12955
P37231 O60934
Q14773 Q92673
Q86VU5 P49770
Q01628 Q15046
P19320 P62136
Q8NCF5 Q15906
O94985 Q13573
Q9HBE5 P29350
Q01860 Q9H9J4
P26447 P01860
P62917 Q96PZ2
P05067 Q8TDB4
O75439 Q9BRJ2
Q9NUM4 Q9BRK5
P46531 O14672
Q9NVH0 Q9BV44
Q9NPC6 P16298
Q9UKA2 P36952
Q76LX8 P04275
P14859 P20823
P11686 P55082
P24752 P55060
O43491 Q6NYC1
Q7L2J0 P62244
O95831 P00374
Q5QGZ9 Q8NC01
O15205 Q96CS3
Q9NZJ6 O75439
P58753 O00206
P78395 P29692
Q86T26 Q96HY6
P18077 Q9Y3A5
Q92733 Q86X55
O43493 P48553
P01008 Q9Y4L1
Q7L2J0 Q9BQK8
P01127 Q9UNX3
Q86X19 Q96S66
Q9BXK5 P01350
Q9Y5V3 Q9UHD9
Q8TB22 Q07021
Q01628 Q15185
Q13291 Q96S97
Q6ZSA7 Q9Y561
Q15113 Q14766
Q99608 O75143
P40337 Q9Y376
P03372 Q03701
O75607 Q9H7B2
Q9Y5V3 P08138
Q13309 Q6ZRV2
P11717 Q92484
Q9H3M0 O95363
Q13361 Q92859
Q16667 Q86YZ3
P09919 Q12913
Q9UHD9 P28676
Q6ZNK6 Q92598
Q96AK3 P82663
Q2TAZ0 P21964
Q6IN84 P20930
Q9UQ13 P00505
Q96RI1 Q14790
Q9UBI1 P62841
P28799 P49589
Q96BP2 Q9Y2P8
Q00604 Q01459
P22695 Q96AY3
Q9GZU5 Q8NE86
Q9H503 Q96HA8
Q01344 O14672
P25942 Q14653
P56589 Q96CS3
Q8WWU7 P01876
O43324 Q6NYC1
O75838 Q9NX02
Q9BYX2 Q9UHC1
Q9UJV8 O43159
O75317 Q12769
A8MV81 Q96HA8
Q96CM3 Q9Y2Q9
P38484 Q9BXN2
O43240 P02788
Q4U2R6 Q7Z7F7
O14980 Q96AP0
Q0VD86 P49639
O95433 Q9NYF8
P26447 Q7Z7A1
P0CG37 P35475
Q6IN84 O14561
Q9H2A2 Q8NDH3
Q2HXU8 P13224
Q96HY6 Q7KZF4
P08247 Q9NZD8
Q14773 Q86XX4
Q56VL3 O95672
P56589 Q7Z3U7
Q9NWQ9 Q9BU89
O43731 Q9BVK2
Q969T9 Q06710
O95970 Q96F46
Q8IWF2 Q96DZ1
Q13241 Q641Q3
Q8TDN6 P36578
Q8TB96 P62081
O43521 Q92934
Q9H8J5 Q6UX27
P30203 Q86XI2
Q96DN2 Q9UJK0
Q9Y5Y6 P11717
Q5JVS0 P51398
Q9P032 Q3ZCQ8
Q9BSH4 O14561
Q15906 Q9NRQ2
Q92901 P32969
Q9HC58 P04035
P62269 P62241
Q01344 O15031
Q15527 Q99575
P82933 P82664
P06748 Q9Y4E8
Q7L1T6 P54317
Q2M1V0 P80723
Q99801 O00754
P06127 P26842
Q96HY6 Q5T160
Q96RS6 Q9NPL8
Q8N386 Q92551
P03372 Q96C19
Q9Y6G5 Q9UBQ0
Q86WK6 Q8N271
Q9NP59 P05067
Q01344 Q99988
Q86XK7 Q5HYK3
P52657 Q96DA0
P15927 Q5T3J3
P04004 Q9HD23
Q9NQC7 Q8NEZ5
P22735 Q8IW00
P46777 P08865
Q9UQV4 Q5UIP0
Q99442 Q8N128
O76021 P78316
Q9BXB1 Q16850
P29966 Q96HN2
P03372 P53007
P03372 P32969
Q15437 O43365
O75503 Q01581
P02751 Q14624
Q6UXL0 Q8TB96
Q8TB96 P62136
Q9UPM6 Q9Y2G2
Q9UNX3 P62249
A6NJ78 P82664
P26641 Q9Y3A5
P08247 P32189
P98066 P02751
Q96EW2 P62273
Q14627 Q9ULE6
Q5T700 O95407
P40259 P16260
Q6UXI9 P53708
Q6EMK4 Q9H9A6
Q96DN2 Q9Y6A1
Q96A22 Q9H3Q1
P43121 Q9Y5L0
P43897 Q9Y2R9
Q9UJV8 Q9H9Y2
Q99608 Q7Z417
P06396 P02751
P19320 Q9Y262
Q02083 P11717
Q9UMR7 Q9BX67
P12830 P30307
Q9BXJ2 O95084
Q2NKQ1 O43920
Q9H0F6 P00374
O60704 Q15629
P00480 P13804
Q14353 O95363
Q9Y2Y8 P12109
Q96CU9 O75489
Q14773 P00966
Q8NBF2 Q9NTK5
P62249 Q13601
Q9Y2I6 Q96HS1
P06748 Q9P2I0
P00750 Q05586
Q96I15 P14735
Q96C01 Q7Z4N8
Q9Y6K5 Q01780
Q9H7H0 Q9Y2Q9
Q14627 Q96AG3
Q9NQC7 Q9Y679
Q9Y5I4 Q86X29
O76024 Q13530
Q9UJV8 Q13601
Q99944 P06702
P12644 Q9P206
P41235 Q14994
P01871 Q2TAA5
P19320 Q12931
Q9NX40 Q6PI48
Q9NS69 Q8TEV9
P27930 Q29980
P46779 P15880
Q9NQC7 P50914
P62508 Q15125
O15393 Q13635
Q96RS6 P60903
Q96KV6 Q92990
P03372 O75319
Q96LR2 Q96RS0
Q9BVS5 P82933
Q5T700 P23142
Q2HXU8 O43529
O14737 Q5UIP0
Q15262 Q86WK6
P55854 P29692
Q9HAV5 P04183
P07766 Q9BRN9
P10276 P78395
O00206 P08571
Q9UBP4 O14653
P61927 P46781
Q9BUN8 O14523
Q96RS0 O14980
P11912 P37268
Q14790 P25445
Q6UWY0 Q96BY7
Q5HYK3 Q9Y2S7
Q92552 P51398
P62841 P46776
Q15526 O43920
Q9BXR0 Q9H3Q1
P37231 Q8NHM5
P30038 Q99798
O14980 Q70Z53
O96015 O95202
Q9BVS5 Q9NVS2
Q9H400 P14735
P10276 O43707
Q6UY01 Q9P035
P18084 P10451
Q9H9A6 Q9BV20
Q9NRM6 Q86WK6
Q07812 P26951
P26012 P01137
P17813 Q16270
O14980 P46779
O15371 Q9UNK9
P49639 Q02818
P11686 Q9P2B2
Q96PE5 O94829
P51784 P26641
P80404 Q6P587
Q02878 Q9Y6G3
Q13651 Q71RG4
P03372 Q8N5C6
P04150 O75844
P04196 P28799
P46379 Q7Z7A1
P35070 Q14232
O14931 O75197
Q96A35 Q4U2R6
Q96PE5 Q9GZP9
P55211 Q58FF8
Q99943 P04003
Q15742 P55212
P17813 Q9UBG3
Q2HXU8 Q9ULK0
P08311 Q9UBG0
P50222 Q8IZF0
Q4U2R6 Q9BYD1
P49639 Q9NRY6
Q16851 Q8IZ83
Q9H9Y2 P82675
Q96AG3 Q9NZJ7
Q10713 Q16595
O15205 Q9NY61
P34910 O14735
P07602 Q8TAQ2
P04216 Q9H490
P05161 Q9H3D4
Q9BYE2 O14672
Q06710 O94985
O43291 Q9ULF5
Q12888 Q9NWV8
P15927 Q9NQC3
Q5T700 Q8NCH0
Q9GZV9 P78562
O95831 P51648
P56181 P03891
Q9BQY4 Q8WXF8
Q96GW7 P13611
P03372 Q9BT30
P04233 P16070
O14980 Q15543
Q9H3M0 Q07820
Q8TDC0 Q96PV6
Q9UBT6 Q6UN15
Q86YD3 Q9BRY0
Q8N6P7 P37287
Q30201 Q9UK28
P26718 Q9UBV2
Q8NBZ7 Q8WUA8
P20036 P62829
P62136 O95685
Q96GC5 P05067
Q9UBQ0 P05067
Q9ULK4 P40123
P51784 Q15517
P22891 Q9UK55
P13473 Q8NI22
Q01628 Q8IV08
Q01780 Q5RKV6
P10275 P82933
Q9UQ10 Q8WXG6
Q9NUM4 Q00325
Q8TBE3 Q5BVD1
Q12888 Q12789
O75147 O15144
O00468 P06748
Q8NBF2 P53004
O00548 P46531
Q08AM6 O75844
O76095 P05067
Q2MV58 Q14696
P40197 O15173
Q9UDY8 Q86X55
Q7L2H7 Q70CQ2
Q9P0N9 P09917
O14829 P17812
Q15256 P82673
P08243 P07814
P49917 Q6UN15
Q8TCT0 Q5JSZ5
Q9NZR2 P10909
P03372 P62910
Q9NUX5 P05109
Q9UNN5 P06748
P03372 Q8IVM0
P05109 Q96ID5
Q4ZIN3 P62244
Q9BY50 Q9NSU2
O76024 Q8IXL7
Q96II8 Q16643
O15118 Q9GZP9
O75489 Q6P161
Q7Z7D3 Q7Z6A9
P10275 O43242
Q8WUK0 Q3ZCQ8
Q8WVJ2 P60866
Q9H7E2 Q1MSJ5
O15547 P01024
P46776 P62917
P12830 P61927
Q8IVY1 P10589
Q13158 Q9C099
Q9H8J5 A4D1S0
P26641 P49589
Q7L2J0 Q14331
Q9UBX2 P36578
O75147 Q8TF40
Q8N386 P38435
Q9NUM4 P48723
P15151 P47224
Q15306 Q96QK1
P23276 P20800
Q9GZP9 Q9UBV2
Q8WTR2 P53004
P19387 Q9Y3P9
P26367 Q96MP8
P62249 P60866
Q86X76 P55084
Q8N386 Q9H5Q4
P43897 Q92552
O43633 Q96FZ7
O00418 Q9Y2J2
P03372 Q9UIU6
Q9NPG4 Q13332
P16070 Q12789
Q96LA8 Q9H9A6
O60613 P05120
O75147 Q14126
O15205 P00374
P14138 O75197
Q9Y5Y6 P14210
Q93096 O43242
P18031 Q9H2M9
Q9Y4L1 Q5SZK8
P46779 Q15262
P12273 O00462
Q96HA8 Q96CD2
P17707 Q9NSD9
P27695 Q9H7H0
Q9BSQ5 O14713
Q07020 P62249
Q7KZF4 P13797
Q96GC9 P49458
Q9NRR4 P59046
Q9Y5X9 Q641Q3
Q9Y253 Q09666
Q6UXL0 P48645
O95394 Q9UHY7
Q2HXU8 Q12891
Q9NWW5 O15393
Q9NX14 P03891
Q15306 Q7Z6J9
Q6UY14 P55212
Q15750 Q86VX9
Q9UHF1 P40337
P47871 Q8TEY7
Q8N9R8 Q12888
Q96CM3 P82675
Q8NFR7 P01876
Q9C099 Q9H0C2
P11686 Q9NTN9
Q8WY91 P42357
Q14392 Q9BZR6
P05067 P02679
Q96AK3 Q9UNX3
O95433 P62829
Q9BRU9 P36578
Q9GZY0 P05067
O95568 P10155
Q86X76 Q8N3J5
Q13561 Q3B7T1
Q96GX1 Q5HYA8
Q6P2I3 Q9UJ14
P11279 Q02487
O14967 O76024
P51784 Q9UFF9
Q8WV48 Q9BVK2
Q9NZQ7 P48556
Q9UBR4 Q9Y6X8
Q9UNA3 O14732
O43493 Q92542
Q9NQ55 P82673
O95059 Q96ID5
Q96RS6 Q10570
O75390 Q9Y2S7
Q10713 O43181
P13473 Q8IWT0
Q96QE5 P38646
Q7Z417 P11387
Q9BXR0 P05067
P20719 Q9UNN4
O15393 Q9P0I2
P56180 Q8N766
Q07021 Q7L8L6
Q95460 Q7Z2K6
Q9NUX5 P00750
Q6IN84 P13473
P12644 Q9UNQ2
P04233 Q15003
Q9NY25 Q9H490
P48742 Q9Y3B7
P60484 P46060
Q86UE4 Q9P287
P29966 Q9ULF5
Q9UBX7 Q03167
Q96A35 Q9BYD2
Q9NRQ2 Q8WTU2
Q9H9S0 Q7Z353
O75147 P08865
Q8NBX0 Q9NX40
P16410 P0CG47
P29966 Q14156
P03372 P38646
Q13361 Q8TEL6
Q13601 P46087
Q96A22 Q9Y305
P60484 Q9Y2Q9
P01137 Q8WVJ2
P05067 P57088
P13598 Q8TB96
Q9BUN8 P05067
Q5J8M3 Q9BTV4
Q14994 O75448
Q16790 Q15904
Q96JN0 Q9Y520
Q5J8M3 Q96AG4
P07307 Q9BUN8
P10909 P27169
P0CG47 Q9NRQ2
O95831 Q96C36
Q8WY54 P22695
P29350 Q05209
P23378 Q9BXR5
Q8N386 Q9BRY0
Q9NYP3 Q9UNS1
P36578 P62917
P16455 Q9BTT0
O00180 O14735
Q8IZN7 Q6UWL2
O75147 Q5U5X8
O76024 Q6UY14
Q9UNX3 P46087
Q5T700 Q70CQ3
Q86T26 Q95460
Q03431 P01270
O95985 P84996
Q96DZ9 Q8WY91
Q5BVD1 Q5SWA1
P12830 Q9NTK5
Q9NPD3 P62273
O14980 Q13442
O75439 Q9Y6G3
P08865 P18077
Q16821 Q5UIP0
Q9UHD9 Q9BVI4
Q8IUC6 Q92985
Q5TGI0 Q5SWX8
Q86Y30 O43149
Q9BVS5 Q6PI48
O15118 Q8NFJ5
Q9NR96 Q8N1F8
Q9ULY5 Q8N2K0
P27487 O75976
Q6UY01 Q02878
Q9UI10 P01019
P05161 P46776
Q8WUJ0 P15927
Q9Y4E8 O60613
Q93009 P08709
Q9Y661 O95258
Q92953 Q8TDN1
P11279 Q92953
Q9H7H0 P82675
Q9HBL8 P62136
Q2HXU8 Q2TAA5
Q96BH3 Q9Y5Y6
P28068 O14967
Q15813 Q3B7T1
Q0VD86 Q96HA8
O43240 Q96DA0
O75147 Q15459
Q9BXJ1 Q99715
Q96I15 O14562
P62241 O43159
Q9Y219 P46531
Q9NZC2 P10909
Q6IN84 P23378
P61353 P62917
P78424 Q86VF2
Q9BUN8 P27694
Q9NWT6 Q9H4L4
Q9H400 P55061
Q9HBL8 Q9NUQ2
P42701 Q9NS15
P01135 Q86UT6
Q96CF2 P60866
Q15125 Q14802
P05161 P07814
O43707 P17301
Q9UBI1 Q9H0A8
Q9H013 Q9BV44
Q9NZR4 Q9HCM7
Q96GX1 Q6NUS6
P09038 P18827
Q16643 Q9UBH6
Q9UBV2 Q96DZ1
Q9UKF6 Q6UN15
O15393 Q9BXN2
P48742 Q15906
O15144 Q08J23
P43699 P15927
P04150 Q96CS3
O14980 Q2TAZ0
Q9BQY4 Q96PV6
Q3MII6 Q9BQ89
Q96FQ6 P55809
P27695 Q05D32
Q8N104 Q6UWW8
Q96PE5 Q9NUQ2
P48723 P14314
Q12931 Q5VWZ2
P46087 Q14978
Q9NWT6 P40337
Q9UFN0 P12694
Q9BXS4 Q8NBX0
Q9BYE2 Q9UMR5
P04150 Q8WZ42
Q8N668 Q9UBG3
Q9H0D6 P82673
Q96S82 P54727
P19438 Q00325
P08709 P13726
Q9H400 P38646
Q8NA54 Q9NZT1
O95149 O75312
A0PJW6 P42898
Q9NQ88 P13473
Q9UK80 Q96RU2
Q92953 Q86SJ2
O76024 Q9BS18
Q96HY6 Q9BUL9
Q96RS6 P23142
Q8N5I2 Q8N5Z5
P49639 Q9BZL1
Q9HBL7 Q14126
P03372 P08243
P01730 P08473
Q13895 Q7Z6G3
O75390 P30038
Q9NXC2 Q92990
P26006 P27797
P55060 Q9P287
Q5TGI0 Q8TCT0
Q99608 P62269
Q9BQI0 O43490
Q9Y240 Q96CS3
P22459 Q14160
Q70EL2 O00442
Q14802 Q9Y5L0
Q6P5W5 Q9H3K2
P55899 Q9P2E7
O95147 Q8TF66
Q96HY6 P02746
Q8NI37 Q9NUQ2
P63316 P45379
Q6UXC1 Q9UKY4
Q86YD3 Q05707
Q9H0D6 P78395
Q15116 Q8NE86
Q16643 Q0ZGT2
O14732 Q16658
P43699 P11387
P51589 P03915
Q6WBX8 Q5TA45
O15393 Q9Y3B7
P51787 O75604
P27797 O95202
Q6IN84 Q5VTE6
Q16643 P22102
Q15306 Q86X55
Q5R3F8 Q86TI0
Q9NX40 P56589
Q8WWY3 P50222
P03973 P41271
P01876 Q8N5T2
Q6MZZ7 P48634
Q8WZ55 P50454
P62917 Q9NQ55
Q96RD7 O14735
P62906 P62249
Q96C01 P12694
Q9NUM4 P22413
Q5SWW7 Q12888
Q92990 Q5U3C3
Q96AG4 Q9Y4L1
P43026 Q8TF66
Q9BX73 Q9BVK2
O15205 P51648
P55854 O00567
O95831 Q9Y2C4
P37231 P17936
Q96AK3 Q96A35
Q13021 Q9NWB6
Q969N2 Q9H490
O00253 Q7Z7L7
Q06710 P50219
O15041 Q9Y4D7
Q9NRX1 Q86VU5
Q9H0A8 Q86VX2
P60022 Q10713
P14138 Q92673
O75390 Q7Z7F7
Q9NUM4 P39656
Q00325 Q9NS69
Q9HD36 Q16611
Q49MI3 O75688
Q07021 P46776
O95985 Q7KZF4
Q9UQV4 Q14114
Q15459 P04004
Q13454 Q6MZP7
B9A064 Q9Y2E5
Q53RD9 P01876
P62241 Q13601
Q96CF2 Q96FZ7
P31323 P10644
Q6IN84 Q96E93
Q53SF7 Q6NT76
Q07812 P55210
Q99442 P04035
Q9UHD9 Q13505
P04233 Q9H446
P21580 Q9ULP9
Q7L2J0 P50914
P04150 Q8IYK4
O14967 Q13683
P08247 Q6PCB7
P56589 P51648
P06748 Q00325
P20062 P05067
Q9P2B2 Q02878
P01127 P82675
Q9NQC7 Q8WX93
Q9Y2I6 Q1MSJ5
Q9UK55 P48723
Q15435 Q02878
Q9NRQ2 P49639
Q9UMR7 P15151
P15880 P58557
O95476 O15173
P62081 Q9UNX3
Q9H9S0 P50336
Q9UHP7 P34810
P04150 Q53GS9
P03372 Q5JVF3
P33681 Q08AM6
Q9NQ34 Q8N5I3
Q9UQK1 Q16643
Q01780 P78316
Q9H7H0 P43897
Q96HY6 Q9NYF8
P0CG37 P46531
Q14392 P61803
Q8N3G9 Q8N201
P10909 P15692
Q99798 P30050
O75607 P62906
Q9Y3C1 O76021
Q96BP2 Q9Y2R9
P15289 Q9NXK8
Q9UNN5 P13797
P14784 P29350
P02751 Q15466
Q5BVD1 Q6NUM9
Q86UE4 P98160
Q6ZNK6 P09211
Q9NPL8 P02655
Q07020 Q8WXX7
P02751 P46781
P11279 O95297
Q9BS91 Q96N66
Q6UWR7 P03915
Q99689 Q5UIP0
Q9HCU0 P38646
Q9NZJ7 Q15370
